stock_name,common
Acanthocybium_solandri,Wahoo
Aequipecten_opercularis,Queen scallop
Alosa_fallax,NA
Anarhichas_lupus,Atlantic wolffish
Anguilla_anguilla,European eel
Aphanopus_carbo,Black scabbardfish
Argyrosomus_regius,Meagre
Auxis_rochei,Bullet tuna
Auxis_thazard,Frigate tuna
Balistes_capriscus,Grey triggerfish
Belone_belone,Garfish
Boops_boops,Bogue
Brama_brama,Atlantic pomfret
Buglossidium_luteum,NA
Cancer_pagurus,Edible crab
Capros_aper,Boarfish
Caranx_crysos,Blue runner
Caranx_hippos,Crevalle jack
Caranx_rhonchus,False scad
Carcinus_maenas,Green crab
Cetorhinus_maximus,Basking shark
Chamelea_gallina,Striped venus
Chelidonichthys_cuculus,Red gurnard
Chelidonichthys_lucerna,Tub gurnard
Chelon_auratus,NA
Conger_conger,European conger
Coryphaenoides_rupestris,Roundnose grenadier
Dentex_dentex,Common dentex
Dentex_gibbosus,Pink dentex
Dentex_macrophthalmus,Largeeye dentex
Dicentrarchus_labrax,European seabass
Diplodus_annularis,Annular seabream
Diplodus_sargus_sargus,NA
Diplodus_vulgaris,Common twobanded seabream
Eledone_cirrhosa,Horned octopus
Engraulis_encrasicolus,European anchovy
Epinephelus_marginatus,Dusky grouper
Euthynnus_alletteratus,Little tunny
Eutrigla_gurnardus,Grey gurnard
Glycymeris_glycymeris,Dog cockle
Homarus_gammarus,European lobster
Istiophorus_albicans,Atlantic sailfish
Isurus_oxyrinchus,Shortfin mako
Katsuwonus_pelamis,Skipjack tuna
Lamna_nasus,Porbeagle
Lepidopus_caudatus,Silver scabbardfish
Lepidorhombus_boscii,NA
Lepidorhombus_whiffiagonis,Megrim
Leucoraja_naevus,Cuckoo ray
Lichia_amia,Leerfish
Limanda_limanda,Common dab
Lithognathus_mormyrus,Sand steenbras
Littorina_littorea,Common periwinkle
Lophius_budegassa,NA
Lophius_piscatorius,Angler
Macroramphosus_scolopax,Longspine snipefish
Makaira_nigricans,Blue marlin
Merlangius_merlangus,Whiting
Merluccius_merluccius,European hake
Micromesistius_poutassou,Blue whiting
Microstomus_kitt,Lemon sole
Molva_dypterygia,Blue ling
Molva_molva,Ling
Mugil_cephalus,Flathead grey mullet
Mullus_barbatus_barbatus,NA
Mullus_surmuletus,Surmullet
Mytilus_edulis,Blue mussel
Mytilus_galloprovincialis,Mediterranean mussel
Necora_puber,Velvet swimcrab
Nephrops_norvegicus,Norway lobster
Oblada_melanura,Saddled seabream
Octopus_vulgaris,Common octopus
Osmerus_eperlanus,European smelt
Pagellus_acarne,Axillary seabream
Pagellus_bogaraveo,Blackspot seabream
Pagellus_erythrinus,Common pandora
Pagrus_pagrus,Red porgy
Parapenaeus_longirostris,Deepwater rose shrimp
Pecten_maximus,Great Atlantic scallop
Penaeus_kerathurus,NA
Petromyzon_marinus,Sea lamprey
Phycis_blennoides,Greater forkbeard
Phycis_phycis,Forkbeard
Platichthys_flesus,European flounder
Plectorhinchus_mediterraneus,Rubberlip grunt
Pleuronectes_platessa,European plaice
Pollachius_pollachius,Pollack
Pomadasys_incisus,Bastard grunt
Pomatomus_saltatrix,Bluefish
Prionace_glauca,Blue shark
Raja_clavata,Thornback ray
Salmo_trutta,Sea trout
Sander_lucioperca,Pike-perch
Sarda_sarda,Atlantic bonito
Sardina_pilchardus,European pilchard
Sardinella_aurita,Round sardinella
Sarpa_salpa,Salema
Scomber_colias,Atlantic chub mackerel
Scomber_scombrus,Atlantic mackerel
Scophthalmus_maximus,Turbot
Scophthalmus_rhombus,Brill
Scyliorhinus_canicula,Smallspotted catshark
Sepia_officinalis,Common cuttlefish
Seriola_dumerili,Greater amberjack
Solea_solea,Common sole
Sparisoma_cretense,Old parrotfish
Sparus_aurata,Gilthead seabream
Sphyrna_zygaena,Smooth hammerhead
Spicara_maena,Blotched picarel
Spondyliosoma_cantharus,Black seabream
Sprattus_sprattus,European sprat
Squalus_acanthias,Piked dogfish
Squilla_mantis,Spottail mantis squillid
Thunnus_alalunga,Albacore
Thunnus_albacares,Yellowfin tuna
Thunnus_obesus,Bigeye tuna
Thunnus_thynnus,Atlantic bluefin tuna
Todarodes_sagittatus,European flying squid
Trachinotus_ovatus,Pompano
Trachinus_draco,Greater weever
Trachurus_mediterraneus,Mediterranean horse mackerel
Trachurus_picturatus,Blue jack mackerel
Trachurus_trachurus,Atlantic horse mackerel
Trichiurus_lepturus,Largehead hairtail
Trisopterus_luscus,Pouting
Umbrina_canariensis,Canary drum
Umbrina_cirrosa,Shi drum
Venus_verrucosa,Warty venus
Xiphias_gladius,Swordfish
Zeus_faber,John dory
