grid_ids,species,total_area_km2,iucn_category
23,BLENNIES,919321.98,EN;LC;VU;NT;CR
24,BLENNIES,919321.98,EN;LC;VU;NT;CR
25,BLENNIES,919321.98,EN;LC;VU;NT;CR
26,BLENNIES,919321.98,EN;LC;VU;NT;CR
38,BLENNIES,919321.98,EN;LC;VU;NT;CR
39,BLENNIES,919321.98,EN;LC;VU;NT;CR
40,BLENNIES,919321.98,EN;LC;VU;NT;CR
41,BLENNIES,919321.98,EN;LC;VU;NT;CR
53,BLENNIES,919321.98,EN;LC;VU;NT;CR
54,BLENNIES,919321.98,EN;LC;VU;NT;CR
55,BLENNIES,919321.98,EN;LC;VU;NT;CR
56,BLENNIES,919321.98,EN;LC;VU;NT;CR
68,BLENNIES,919321.98,EN;LC;VU;NT;CR
69,BLENNIES,919321.98,EN;LC;VU;NT;CR
70,BLENNIES,919321.98,EN;LC;VU;NT;CR
83,BLENNIES,919321.98,EN;LC;VU;NT;CR
84,BLENNIES,919321.98,EN;LC;VU;NT;CR
85,BLENNIES,919321.98,EN;LC;VU;NT;CR
86,BLENNIES,919321.98,EN;LC;VU;NT;CR
87,BLENNIES,919321.98,EN;LC;VU;NT;CR
89,BLENNIES,919321.98,EN;LC;VU;NT;CR
98,BLENNIES,919321.98,EN;LC;VU;NT;CR
99,BLENNIES,919321.98,EN;LC;VU;NT;CR
100,BLENNIES,919321.98,EN;LC;VU;NT;CR
101,BLENNIES,919321.98,EN;LC;VU;NT;CR
102,BLENNIES,919321.98,EN;LC;VU;NT;CR
103,BLENNIES,919321.98,EN;LC;VU;NT;CR
104,BLENNIES,919321.98,EN;LC;VU;NT;CR
113,BLENNIES,919321.98,EN;LC;VU;NT;CR
114,BLENNIES,919321.98,EN;LC;VU;NT;CR
115,BLENNIES,919321.98,EN;LC;VU;NT;CR
116,BLENNIES,919321.98,EN;LC;VU;NT;CR
117,BLENNIES,919321.98,EN;LC;VU;NT;CR
118,BLENNIES,919321.98,EN;LC;VU;NT;CR
119,BLENNIES,919321.98,EN;LC;VU;NT;CR
120,BLENNIES,919321.98,EN;LC;VU;NT;CR
129,BLENNIES,919321.98,EN;LC;VU;NT;CR
130,BLENNIES,919321.98,EN;LC;VU;NT;CR
131,BLENNIES,919321.98,EN;LC;VU;NT;CR
132,BLENNIES,919321.98,EN;LC;VU;NT;CR
133,BLENNIES,919321.98,EN;LC;VU;NT;CR
134,BLENNIES,919321.98,EN;LC;VU;NT;CR
135,BLENNIES,919321.98,EN;LC;VU;NT;CR
147,BLENNIES,919321.98,EN;LC;VU;NT;CR
148,BLENNIES,919321.98,EN;LC;VU;NT;CR
149,BLENNIES,919321.98,EN;LC;VU;NT;CR
