"commonname","scientificname","frequency"
"Anchovy","Engraulis encrasicolus",2
"Angel shark","Squatina squatina",1
"Atlantic Cod","Gadus morhua",1
"Atlantic cod","Gadus morhua",15
"Basking shark","Cetorhinus maximus",1
"Beaked Redfish","Sebastes mentella",4
"Beryx spp","Beryx spp",1
"Black bellied angler","Lophius budegassa",2
"Black scabbardfish","Aphanopus carbo",1
"Blackmouth dogfish","Galeus melastomus",2
"Blonde ray","Raja brachyura",5
"Blue jack mackerel","Trachurus picturatus",1
"Blue ling","Molva dypterygia",3
"Blue whiting","Micromesistius poutassou",1
"Boarfish","Capros aper",1
"Brill","Scophthalmus rhombus",2
"Capelin","Mallotus villosus",2
"Common sole","Solea solea",10
"Cuckoo ray","Leucoraja naevus",4
"Dab","Limanda limanda",2
"Deepwater Redfish","Sebastes mentella",1
"European Plaice","Pleuronectes platessa",11
"European flounder","Platichthys flesus",5
"European pilchard","Sardina pilchardus",1
"European pollack","Pollachius pollachius",2
"European seabass","Dicentrarchus labrax",4
"Fourspotted megrim","Lepidorhombus boscii",1
"Golden Redfish","Sebastes norvegicus",2
"Greater forkbeard","Phycis blennoides",1
"Greater silver smelt","Argentina silus",4
"Greenland halibut","Reinhardtius hippoglossoides",2
"Grey gurnard","Eutrigla gurnardus",1
"Haddock","Melanogrammus aeglefinus",9
"Hake","Merluccius merluccius",2
"Herring","Clupea harengus",14
"Horse mackerel","Trachurus trachurus",3
"Kitefin shark","Dalatias licha",1
"Leafscale gulper shark","Centrophorus squamosus",1
"Lemon sole","Microstomus kitt",1
"Lesser spotted dogfish","Scyliorhinus canicula",4
"Ling","Molva molva",4
"Mackerel","Scomber scombrus",1
"Megrim","Lepidorhombus whiffiagonis",2
"Megrim spp","Lepidorhombus spp",1
"Megrim spp.","Lepidorhombus spp",1
"Northern shrimp","Pandalus borealis",3
"Norway lobster","Nephrops norvegicus",29
"Norway pout","Trisopterus esmarkii",2
"Orange roughy","Hoplostethus atlanticus",1
"Pollock","Pollachius virens",3
"Pollock or saithe","Pollachius virens",1
"Porbeagle shark","Lamna nasus",1
"Red gurnard","Chelidonichthys cuculus",1
"Red seabream","Pagellus bogaraveo",3
"Roughhead grenadier","Macrourus berglax",1
"Roundnose grenadier","Coryphaenoides rupestris",4
"Sand eel","Ammodytes spp",8
"Sandy ray","Leucoraja circularis",1
"Sardine","Sardina pilchardus",3
"Sea trout","Salmo trutta",1
"Shagreen ray","Leucoraja fullonica",1
"Smalleyed ray","Raja microocellata",2
"Smooth-hound","Mustelus spp",1
"Spotted ray","Raja montagui",5
"Sprat","Sprattus sprattus",5
"Spurdog","Squalus acanthias",1
"Starry ray","Amblyraja radiata",1
"Striped red mullet","Mullus surmuletus",2
"Thornback skate","Raja clavata",6
"Tope shark","Galeorhinus galeus",1
"Turbot","Scophthalmus maximus",3
"Tusk","Brosme brosme",5
"Undulate ray","Raja undulata",2
"White anglerfish","Lophius piscatorius",2
"Whiting","Merlangius merlangus",7
"Witch flounder","Glyptocephalus cynoglossus",1
