species,in_ICES,in_BBMSY,in_Top95
trisopterus luscus,TRUE,FALSE,TRUE
boops boops,TRUE,FALSE,TRUE
helicolenus dactylopterus,TRUE,FALSE,TRUE
beryx decadactylus,TRUE,FALSE,TRUE
ruditapes philippinarum,TRUE,FALSE,TRUE
cerastoderma edule,TRUE,FALSE,TRUE
conger conger,TRUE,FALSE,TRUE
palaemon serratus,TRUE,FALSE,TRUE
sepia officinalis,TRUE,FALSE,TRUE
ruditapes decussatus,TRUE,FALSE,TRUE
eledone cirrhosa,TRUE,FALSE,TRUE
ensis ensis,TRUE,FALSE,TRUE
ensis magnus,TRUE,FALSE,TRUE
phycis phycis,TRUE,FALSE,TRUE
phycis blennoides,TRUE,FALSE,TRUE
zeus faber,TRUE,FALSE,TRUE
microstomus kitt,TRUE,FALSE,TRUE
necora puber,TRUE,FALSE,TRUE
mullus surmuletus,TRUE,FALSE,TRUE
octopus vulgaris,TRUE,FALSE,TRUE
pollicipes pollicipes,TRUE,FALSE,TRUE
brama brama,TRUE,FALSE,TRUE
pollachius pollachius,TRUE,FALSE,TRUE
pagellus bogaraveo,TRUE,FALSE,TRUE
maja squinado,TRUE,FALSE,TRUE
raja spp,TRUE,FALSE,TRUE
illex illecebrosus,TRUE,FALSE,TRUE
loligo vulgaris,TRUE,FALSE,TRUE
diplodus sargus,TRUE,FALSE,TRUE
todaropsis eblanae,TRUE,FALSE,TRUE
scophthalmus maximus,TRUE,FALSE,TRUE
paracentrotus lividus,TRUE,FALSE,TRUE
polititapes rhomboides,TRUE,FALSE,TRUE
polyprion americanus,TRUE,FALSE,TRUE
