"FAOcode","scientificname","English_name","total_euros","percent_cumulative","in_ices"
"HKE","Merluccius merluccius","European hake",535873137.25,24.017054605496,TRUE
"ANK","Lophius budegassa","Blackbellied angler",177739334.063,31.9830730434459,TRUE
"CLJ","Ruditapes philippinarum","Japanese carpet shell",143486352.232,38.4139226553228,TRUE
"LEZ","Lepidorhombus spp","Megrims NEI",116814975.147,43.6493999387013,TRUE
"HOM","Trachurus trachurus","Atlantic horse mackerel",116033118.682,48.8498355524975,TRUE
"OCC","Octopus vulgaris","Common octopus",78647139.703,52.3746859648663,TRUE
"WHB","Micromesistius poutassou","Blue whiting(=Poutassou)",75819016.75,55.7727840198734,TRUE
"COC","Cerastoderma edule","Common edible cockle",74649028.09,59.118444884841,TRUE
"MAC","Scomber scombrus","Atlantic mackerel",54720277.884,61.5709281511459,TRUE
"CTS","Venerupis rhomboides",NA,50753317.566,63.8456180257832,TRUE
"MON","Lophius piscatorius","Angler(=Monk)",44471851.502,65.8387817275732,TRUE
"CTG","Ruditapes decussatus","Grooved carpet shell",43819170.717,67.8026932258776,TRUE
"PCB","Pollicipes pollicipes","Barnacle",43040510.717,69.7317063155119,TRUE
"PIL","Sardina pilchardus","European pilchard(=Sardine)",39405440.758,71.4978008566476,TRUE
"ALB","Thunnus alalunga","Albacore",38416518.88,73.2195733575588,TRUE
"SWO","Xiphias gladius","Swordfish",34956231.45,74.786260808707,TRUE
"URM","Paracentrotus lividus","Stony sea urchin",29966446.182,76.1293133415866,TRUE
"EQK","Ensis magnus","Arched razor shell",29796808.75,77.4647629714948,TRUE
"SQI","Illex illecebrosus","Northern shortfin squid",28047080.579,78.7217923296885,TRUE
"ANE","Engraulis encrasicolus","European anchovy",25910143.421,79.8830472725502,TRUE
"POA","Brama brama","Atlantic pomfret",24652264.005,80.9879258895222,TRUE
"BSS","Dicentrarchus labrax","European seabass",24430264.1509999,82.0828547959277,TRUE
"CTC","Sepia officinalis","Common cuttlefish",20762467.571,83.0133983942811,TRUE
"VMA","Scomber colias","Atlantic chub mackerel",19900376.985,83.9053043464463,TRUE
"JDV","Maja brachydactyla","Common spider crab",19286904.846,84.7697153696122,TRUE
"VNR","Polititapes rhomboides","Banded carpet shell",17512682.072,85.5546083085835,TRUE
"SOL","Solea solea","Common sole",15906625.041,86.2675201073711,TRUE
"JOD","Zeus faber","John dory",14276011.384,86.9073501737143,TRUE
"SWA","Diplodus sargus","White seabream",13789389.393,87.5253705501931,TRUE
"COE","Conger conger","European conger",13630372.647,88.1362640273997,TRUE
"BRF","Helicolenus dactylopterus","Blackbelly rosefish",11657634.451,88.6587422479304,TRUE
"CPR","Palaemon serratus","Common prawn",11389596.995,89.1692074195329,TRUE
"NEP","Nephrops norvegicus","Norway lobster",11029654.95,89.6635405121998,TRUE
